hora_avistamiento,conteo,categoria_mono,grupo,total_monos_vistos,especie,actividad,vegetacion,arbol,altura_monos,altura_arbol,parte_consumida_de_planta
2024-01-02T10:11:00Z,1.0,hembra_adulta,riochico,10.0,alouattapigra,alimentacion,tucuyales,Guayaba,3.0,5.0,frutos_maduros
2023-12-03T11:18:00Z,3.0,hembra_adulta,,7.0,,vocalizacion,selvamediana,Ficus,18.0,20.0,hojas_jovenes
2023-10-17T01:10:00Z,0.0,hembra_adulta,riochico,0.0,,,,,,,
2023-09-30T13:44:00Z,3.0,hembra_adulta,paraiso,11.0,alouattapigra,,tintal,Pacay,8.0,15.0,retonos
2023-07-21T09:45:00Z,3.0,hembra_adulta,vicenteguerrero,8.0,alouattapigra,descanso,acahual,Guazimo,5.0,10.0,
2023-06-23T11:08:00Z,1.0,hembra_adulta,riousumacinta1,3.0,alouattapigra,descanso,acahual,Jobo,8.0,10.0,
2023-07-01T12:33:00Z,1.0,hembra_adulta,riousumacinta1,3.0,alouattapigra,,acahual,Guasimo,10.0,15.0,
2023-07-07T12:26:00Z,2.0,hembra_adulta,vicenteguerrero,3.0,alouattapigra,alimentacion,acahual,Mango,15.0,30.0,retonos
2023-07-07T12:41:00Z,2.0,hembra_adulta,vicenteguerrero,5.0,alouattapigra,alimentacion,acahual,Mango,10.0,25.0,
2023-07-07T13:03:00Z,2.0,hembra_adulta,vicenteguerrero,3.0,alouattapigra,alimentacion,acahual,Mango,10.0,25.0,frutos_maduros
2023-07-07T13:09:00Z,1.0,hembra_adulta,vicenteguerrero,5.0,alouattapigra,descanso,acahual,Mango,15.0,30.0,
2023-07-05T13:06:00Z,2.0,hembra_adulta,vicenteguerrero,4.0,alouattapigra,descanso,acahual,Tinto,15.0,20.0,
2023-07-06T14:50:00Z,1.0,hembra_adulta,vicenteguerrero,3.0,alouattapigra,descanso,acahual,Cantemo,30.0,40.0,
2023-07-05T12:39:00Z,2.0,hembra_adulta,vicenteguerrero,5.0,alouattapigra,descanso,acahual,Pukte,15.0,30.0,
2023-07-05T13:48:00Z,2.0,hembra_adulta,vicenteguerrero,4.0,alouattapigra,descanso,acahual,Guano,20.0,20.0,
2023-07-06T12:50:00Z,3.0,hembra_adulta,vicenteguerrero,5.0,alouattapigra,descanso,acahual,Guano,20.0,20.0,
2023-07-06T14:36:00Z,3.0,hembra_adulta,vicenteguerrero,8.0,alouattapigra,descanso,acahual,Caracolillo y mango,20.0,30.0,
2023-07-06T14:24:00Z,1.0,hembra_adulta,vicenteguerrero,2.0,alouattapigra,descanso,acahual,Guano,20.0,20.0,
